"Feature Name:","Add as Inflection Feature to Verb Subject Prefixes:","Add as Required Feature to Tone Patterns:","Feat. Value 1:","Feat. Value 2:","Feature Description:"
"TP_NINT'FV'D",".GEN.1,.GEN.2,GEN.3.FV,.PERF.,.EFUT.","«NINT'FV'D»","-","+","The «NINT'FV'D» (NonIntentive Focus-on-Verb Declarative) Tone Pattern requires a Verb Subject Prefix that has the feature TP_NINT'FV'D (i.e. Verb Subject Prefixes that have this feature can have a «NINT'FV'D» Tone Pattern)"
"TP_NINT'FV'Q",".GEN.1,.GEN.2,GEN.3.FV,.PERF.,.EFUT.,.KQ.","«NINT'FV'Q»","-","+","The «NINT'FV'Q» (NonIntentive Focus-on-Verb Interrogative) Tone Pattern requires a Verb Subject Prefix that has the feature TP_NINT'FV'Q (i.e. Verb Subject Prefixes that have this feature can have a «NINT'FV'Q» Tone Pattern)"
"TP_NINT'FN'D",".GEN.1,.GEN.2,GEN.3.FN","«NINT'FN'D»","-","+","The «NINT'FN'D» (NonIntentive Focus-on-NP Declarative) Tone Pattern requires a Verb Subject Prefix that has the feature TP_NINT'FN'D (i.e. Verb Subject Prefixes that have this feature can have a «NINT'FN'D» Tone Pattern)"
"TP_NINT'FN'Q",".GEN.1,.GEN.2,GEN.3.FN,.KQ.","«NINT'FN'Q»","-","+","The «NINT'FN'Q» (NonIntentive Focus-on-NP Interrogative) Tone Pattern requires a Verb Subject Prefix that has the feature TP_NINT'FN'Q (i.e. Verb Subject Prefixes that have this feature can have a «NINT'FN'Q» Tone Pattern)"
"TP_NINT'EO",".EO","«NINT'EO'D»,«NINT'EO'Q»","-","+","The «NINT'EO» (NonIntentive Emphasis on Object) Tone Pattern requires a Verb Subject Prefix that has the feature TP_NINT'EO (i.e. Verb Subject Prefixes that have this feature can have a «NINT'EO» Tone Pattern)"
"TP_INT'FV'D",".GEN.1,.GEN.2,GEN.3.FV","«INT'FV'D»","-","+","The «INT'FV'D» (Intentive Focus-on-Verb Declarative) Tone Pattern requires a Verb Subject Prefix that has the feature TP_INT'FV'D (i.e. Verb Subject Prefixes that have this feature can have a «INT'FV'D» Tone Pattern)"
"TP_INT'FV'Q",".GEN.1,.GEN.2,GEN.3.FV,.KQ.","«INT'FV'Q»","-","+","The «INT'FV'Q» (Intentive Focus-on-Verb Interrogative) Tone Pattern requires a Verb Subject Prefix that has the feature TP_INT'FV'Q (i.e. Verb Subject Prefixes that have this feature can have a «INT'FV'Q» Tone Pattern)"
"TP_INT'FN'D",".GEN.1,.GEN.2,GEN.3.FN","«INT'FN'D»","-","+","The «INT'FN'D» (Intentive Focus-on-NP Declarative) Tone Pattern requires a Verb Subject Prefix that has the feature TP_INT'FN'D (i.e. Verb Subject Prefixes that have this feature can have a «INT'FN'D» Tone Pattern)"
"TP_INT'FN'Q",".GEN.1,.GEN.2,GEN.3.FN,.KQ.","«INT'FN'Q»","-","+","The «INT'FN'Q» (Intentive Focus-on-NP Interrogative) Tone Pattern requires a Verb Subject Prefix that has the feature TP_INT'FN'Q (i.e. Verb Subject Prefixes that have this feature can have a «INT'FN'Q» Tone Pattern)"
"TP_INT'EO",".EO","«INT'EO'D»,«INT'EO'Q»","-","+","The «INT'EO» (Intentive Emphasis on Object) Tone Pattern requires a Verb Subject Prefix that has the feature TP_INT'EO (i.e. Verb Subject Prefixes that have this feature can have a «INT'EO» Tone Pattern)"
"TP_SUB",".SUB'P,.SUB'NP","«SUB»","-","+","The «SUB» (Subordinative) Tone Pattern requires a Verb Subject Prefix that has the feature TP_SUB (i.e. Verb Subject Prefixes that have this feature can have a «SUB» Tone Pattern)"
